Tier 1-4,Return,Times ,0.00%,,,,,,,T5,Return,Times,,
,170,0,0.00%,0,,,,,,,,,,
,171,1,0.17%,171,,,,,,,,,,
,172,1,0.17%,172,,,,,,,,,,
,173,2,0.33%,346,,,,,,,,,,
,174,0,0.00%,0,,,,,,,,,,
,175,1,0.17%,175,,,,,,,,,,
,176,0,0.00%,0,,,,,,,,,,
,177,1,0.17%,177,,,,,,,,,,
,178,0,0.00%,0,,,,,,,,,,
,179,2,0.33%,358,,,,,,,,,,
,180,0,0.00%,0,,,,,,,,,,
,181,3,0.50%,543,,,,,,,,,,
,182,2,0.33%,364,,,,,,,,,,
,183,1,0.17%,183,,,,,,,,,,
,184,0,0.00%,0,,,,,,,,,,
,185,1,0.17%,185,,,,,,,,,,
,186,1,0.17%,186,,,,,,,,,,
,187,4,0.66%,748,,,,,,,,,,
,188,0,0.00%,0,,,,,,,,,,
,189,1,0.17%,189,,,,,,,,,,
,190,0,0.00%,0,,,,,,,,,,
,191,0,0.00%,0,,,,,,,,,,
,192,1,0.17%,192,,,,,,,,,,
,193,0,0.00%,0,,,,,,,,,,
,194,1,0.17%,194,,,,,,,,,,
,195,2,0.33%,390,,,,,,,,,,
,196,2,0.33%,392,,,,,,,,,,
,197,3,0.50%,591,,,,,,,,,,
,198,2,0.33%,396,,,,,,,,,,
,199,1,0.17%,199,,,,,,,,,,
,200,1,0.17%,200,,,,,,,,,,
,Total,604,,52154,,,,,,,,,,
,,,,,,,,,,,,,,
,,Average,86.34768212,,,,,,,,,,,
,,Divation,3.7865404,,,,,,,,,,,
,65%,Lower,82.56114172,,,,,,,,,,,
,,Higher,90.13422252,,,,,,,,,,,
,95%,Lower,78.77460132,,,,,,,,,,,
,,Higher,93.92076292,,,,,,,,,,,
,99%,Lower,74.98806092,,,,,,,,,,,
,,Higher,97.70730332,,,,,,,,,,,
